ts,f_lat,f_lon,uav_lat,uav_lon,error_m,sources
1766949051004,39.943178,32.854581,0.000000,0.000000,0.00,RADAR-2
1766949051092,39.942261,32.853996,0.000000,0.000000,0.00,RADAR-1
1766949051265,39.942270,32.853762,39.920500,32.850000,2441.92,RADAR-2;RADAR-1
1766949051372,39.941700,32.853639,39.920500,32.850000,2377.62,RADAR-1;RADAR-2
1766949051478,39.940926,32.853488,39.920500,32.850000,2290.69,RADAR-1;RADAR-2
1766949051583,39.939846,32.853282,39.920500,32.850000,2169.31,RADAR-1;RADAR-2
1766949051748,39.936929,32.852771,39.920500,32.850000,1842.02,RADAR-1;RADAR-2
1766949051851,39.934563,32.852395,39.920500,32.850000,1577.01,RADAR-2;RADAR-1
1766949051954,39.931581,32.851916,39.920500,32.850000,1242.93,RADAR-2;RADAR-1
1766949052063,39.927579,32.851178,39.920500,32.850000,793.57,RADAR-2;RADAR-1
1766949052179,39.922721,32.850148,39.920500,32.850000,247.28,RADAR-2;RADAR-1
1766949052280,39.921071,32.849924,39.921000,32.850004,10.49,RADAR-2;RADAR-1
1766949052385,39.920081,32.849810,39.921000,32.850004,103.54,RADAR-2;RADAR-1
1766949052491,39.919204,32.849695,39.921000,32.850004,201.44,RADAR-2;RADAR-1
1766949052593,39.918893,32.849513,39.921000,32.850004,237.97,RADAR-2;RADAR-1
1766949052695,39.918240,32.849388,39.921000,32.850004,311.41,RADAR-2;RADAR-1
1766949052800,39.917664,32.849322,39.921000,32.850004,375.50,RADAR-2;RADAR-1
1766949052982,39.916882,32.849113,39.921000,32.850004,464.13,RADAR-2;RADAR-1
1766949053094,39.916682,32.849118,39.921000,32.850004,486.10,RADAR-1;RADAR-2
1766949053205,39.916298,32.849177,39.921000,32.850004,527.63,RADAR-1;RADAR-2
1766949053310,39.916407,32.849170,39.921500,32.850012,570.80,RADAR-1;RADAR-2
1766949053414,39.916414,32.849263,39.921500,32.850012,569.17,RADAR-1;RADAR-2
1766949053554,39.916874,32.849303,39.921500,32.850012,517.91,RADAR-1;RADAR-2
1766949053658,39.916807,32.849288,39.921500,32.850012,525.46,RADAR-2;RADAR-1
1766949053760,39.916919,32.849262,39.921500,32.850012,513.41,RADAR-2;RADAR-1
1766949053864,39.917029,32.849280,39.921500,32.850012,501.07,RADAR-2;RADAR-1
1766949053967,39.917013,32.849341,39.921500,32.850012,502.25,RADAR-2;RADAR-1
1766949054073,39.917125,32.849374,39.921500,32.850012,489.54,RADAR-2;RADAR-1
1766949054188,39.917216,32.849370,39.921500,32.850012,479.49,RADAR-2;RADAR-1
1766949054282,39.917415,32.849331,39.922000,32.850024,513.28,RADAR-2;RADAR-1
1766949054385,39.917528,32.849384,39.922000,32.850024,500.25,RADAR-2;RADAR-1
1766949054490,39.917680,32.849438,39.922000,32.850024,482.96,RADAR-2;RADAR-1
1766949054595,39.917876,32.849483,39.922000,32.850024,460.89,RADAR-2;RADAR-1
1766949054705,39.918015,32.849512,39.922000,32.850024,445.22,RADAR-2;RADAR-1
1766949054811,39.918180,32.849529,39.922000,32.850024,426.83,RADAR-2;RADAR-1
1766949054915,39.918395,32.849515,39.922000,32.850024,403.24,RADAR-2;RADAR-1
1766949055024,39.918620,32.849496,39.922000,32.850024,378.58,RADAR-2;RADAR-1
1766949055128,39.918748,32.849467,39.922000,32.850024,364.73,RADAR-2;RADAR-1
1766949055303,39.918788,32.849445,39.922500,32.850040,415.90,RADAR-2;RADAR-1
