ts,f_lat,f_lon,uav_lat,uav_lon,error_m,sources
1767051547160,39.918154,32.852496,39.920500,32.850000,336.65,TPS-77-LONG-RANGE
1767051547272,39.919475,32.849944,39.920500,32.850000,114.03,TPS-77-LONG-RANGE
1767051547376,39.919687,32.850223,39.920500,32.850000,92.41,TPS-77-LONG-RANGE
1767051547488,39.920482,32.848856,39.920500,32.850000,97.54,TPS-77-LONG-RANGE
1767051547592,39.920264,32.849628,39.920500,32.850000,41.15,TPS-77-LONG-RANGE
1767051547695,39.920541,32.849285,39.920500,32.850000,61.16,TPS-77-LONG-RANGE
1767051547800,39.920601,32.849139,39.920500,32.850000,74.30,TPS-77-LONG-RANGE
1767051547904,39.919992,32.850469,39.920500,32.850000,69.21,TPS-77-LONG-RANGE
1767051548098,39.919801,32.851089,39.921000,32.850004,162.24,TPS-77-LONG-RANGE
1767051548243,39.920839,32.849159,39.921000,32.850004,74.26,TPS-77-LONG-RANGE
1767051548346,39.921487,32.847791,39.921000,32.850004,196.36,TPS-77-LONG-RANGE
1767051548454,39.921631,32.847540,39.921000,32.850004,221.55,TPS-77-LONG-RANGE
1767051548560,39.921571,32.847819,39.921000,32.850004,196.86,TPS-77-LONG-RANGE
1767051548663,39.921759,32.847650,39.921000,32.850004,217.76,TPS-77-LONG-RANGE
1767051548766,39.921244,32.848878,39.921000,32.850004,99.81,TPS-77-LONG-RANGE
1767051548873,39.921570,32.848391,39.921000,32.850004,151.43,TPS-77-LONG-RANGE
1767051548972,39.921536,32.848409,39.921000,32.850004,148.53,TPS-77-LONG-RANGE
1767051549102,39.921211,32.849102,39.921500,32.850012,83.96,TPS-77-LONG-RANGE
1767051549177,39.921514,32.849999,39.921500,32.850012,1.92,STIR-PRECISION-TRACK;TPS-77-LONG-RANGE
1767051549280,39.921560,32.849991,39.921500,32.850012,6.95,STIR-PRECISION-TRACK;TPS-77-LONG-RANGE
1767051549382,39.921598,32.849987,39.921500,32.850012,11.09,STIR-PRECISION-TRACK;TPS-77-LONG-RANGE
1767051549484,39.921622,32.849972,39.921500,32.850012,14.03,STIR-PRECISION-TRACK;TPS-77-LONG-RANGE
1767051549586,39.921617,32.849980,39.921500,32.850012,13.28,STIR-PRECISION-TRACK;TPS-77-LONG-RANGE
1767051549688,39.921601,32.850006,39.921500,32.850012,11.26,TPS-77-LONG-RANGE;STIR-PRECISION-TRACK
1767051549793,39.921585,32.850022,39.921500,32.850012,9.50,STIR-PRECISION-TRACK;TPS-77-LONG-RANGE
1767051549896,39.921581,32.850055,39.921500,32.850012,9.76,STIR-PRECISION-TRACK;TPS-77-LONG-RANGE
1767051550000,39.921578,32.850076,39.921500,32.850012,10.27,STIR-PRECISION-TRACK;TPS-77-LONG-RANGE
1767051550105,39.921542,32.850096,39.922000,32.850024,51.29,TPS-77-LONG-RANGE;STIR-PRECISION-TRACK
